Sample,Name,Origin,Species,lat,long,Type,Flower_time (day)
R4222,Nemertschanskij 1,Union of Soviet Socialist Republics,Brassica napus L.,52.2977778,104.2963867,Winter,182
R4223,Kruglik,Union of Soviet Socialist Republics,Brassica napus L.,48.4808333,135.0927734,Spring,165
R4224,Wesbell,Australia,Brassica napus L.,-23.676163,115.589969,Spring,163
R4225,Wesroona,Australia,Brassica napus L.,-31.950527,115.813016,Spring,158
R4226,Wesreo,Australia,Brassica napus L.,-31.774247,115.771818,Spring,165
R4227,Marnoo,Australia,Brassica napus L.,-32.270894,115.891636,Spring,164
R4228,Rsio,Australia,Brassica napus L.,-37.471308,144.785153,Spring,160
R4229,Wesbrook,Australia,Brassica napus L.,-37.425913,145.353446,Spring,NA
R4230,Wesway,Australia,Brassica napus L.,-37.899502,144.282279,Spring,163
R4231,Janetzki,Austria,Brassica napus L.,-38.158333,144.111991,Winter,181
R4232,unknown,Belarus,Brassica napus L.,53.709807,27.953389,Spring,184
R4233,Bladkool Van Lo,Belgium,Brassica napus L.,51.2166667,4.4166665,Winter,184
R4234,Annick,Belgium,Brassica napus L.,51.05,3.7166667,Winter,183
R4235,Profit,Canada,Brassica napus L.,43.7001138,-79.4163055,Spring,NA
R4236,Tribute,Canada,Brassica napus L.,45.5167792,-73.6491776,Spring,159
R4237,Zephyr,Canada,Brassica napus L.,49.2496574,-123.119339,Spring,166
R4238,Oro,Canada,Brassica napus L.,51.0501123,-114.085289,Spring,162
R4239,Golden,Canada,Brassica napus L.,45.4209405,-75.6902847,Spring,156
R4240,Nugget,Canada,Brassica napus L.,53.5501359,-113.4687119,Spring,166
R4241,Midas,Canada,Brassica napus L.,49.8843986,-97.1470413,Spring,NA
R4242,Tower,Canada,Brassica napus L.,46.8122791,-71.2145386,Spring,176
R4243,Pivot,Canada,Brassica napus L.,43.2334084,-79.9496384,Spring,NA
R4244,unknown,Canada,Brassica napus L.,43.4500956,-80.4829865,Spring,164
R4245,Bridger,Canada,Brassica napus L.,44.6519862,-63.5968475,Winter,184
