Sample,Name,Origin,Species,lat,long,Type,Flower_time (day)
R4481,"Forto, Mansholt's Forto",Germany,Brassica napus L.,52.4333333,10.8000002,Winter,182
R4482,Tamara,Germany,Brassica napus L.,51.6166667,7.1999998,Winter,182
R4483,Germander,Germany,Brassica napus L.,51.5333333,9.9333334,Winter,184
R4484,Arabella,Germany,Brassica napus L.,49.1402778,9.2200003,Winter,181
R4485,Libra (gelbsamige),Germany,Brassica napus L.,48.7666667,11.4333334,Winter,184
R4486,Liglory (gelbsamige),Germany,Brassica napus L.,48.3984084,9.9915504,Winter,182
R4487,Giessener H?henraps,Germany,Brassica napus L.,51.5166667,6.9166665,Winter,162
R4488,Gloria,Germany,Brassica napus L.,51.7190528,8.7543869,Winter,184
R4489,Kurander,Germany,Brassica napus L.,49.8705556,8.6494446,Winter,182
R4490,"Ligora, Wrg 42",Germany,Brassica napus L.,49.7877778,9.9361115,Winter,181
R4491,Lirasol,Germany,Brassica napus L.,49.015,12.0955553,Spring,176
R4492,"Liratop, Wrf 21",Germany,Brassica napus L.,52.4333333,10.8000002,Winter,164
R4493,Panter,Germany,Brassica napus L.,51.6166667,7.1999998,Winter,180
R4494,Nura,Germany,Brassica napus L.,51.5333333,9.9333334,Winter,182
R4495,Rapora,Germany,Brassica napus L.,49.1402778,9.2200003,Winter,181
R4496,Lisandra,Germany,Brassica napus L.,48.7666667,11.4333334,Spring,165
R4497,Akela,Germany,Brassica napus L.,48.3984084,9.9915504,Winter,188
R4498,Multum,Germany,Brassica napus L.,51.5166667,6.9166665,Spring,172
R4499,Gaspard,Germany,Brassica napus L.,48.8833333,8.6999998,Winter,181
R4500,Belinda,Germany,Brassica napus L.,50.1,8.7666664,Winter,183
R4501,St. Si 6720/76,Germany,Brassica napus L.,53.55,8.583333,Winter,181
R4502,"St. Si 7450/76, Norli",Germany,Brassica napus L.,51.1833333,7.1999998,Winter,183
R4503,"St. Si 8727/76, Fernando",Germany,Brassica napus L.,48.49144,9.2042685,Winter,185
R4504,Victor,Germany,Brassica napus L.,49.4759325,10.9885597,Winter,182
R4505,"Norli, Si 74/50/76",Germany,Brassica napus L.,51.45,6.6500001,Winter,184
R4506,Orbis,Germany,Brassica napus L.,50.35,7.5999999,Winter,182
R4507,Billinda,Germany,Brassica napus L.,50.8666667,8.0333328,Winter,181
R4508,Liraspa,Germany,Brassica napus L.,50.9833333,7.1333332,Spring,163
R4509,Golda,Germany,Brassica napus L.,50.9333333,11.583333,Spring,161
R4510,Olymp,Germany,Brassica napus L.,50.8666667,12.083333,Winter,185
R4511,Gregor,Germany,Brassica napus L.,52.15,9.9666672,Winter,180
R4512,Librador,Germany,Brassica napus L.,49.5897222,11.0038891,Winter,185
R4513,Janetzkis Weihenstephaner,Germany,Brassica napus L.,51.4333333,7.3333335,Spring,163
R4514,"Lirakus, Wrg 34",Germany,Brassica napus L.,49.7556526,6.6393471,Winter,182
R4515,Lester,Germany,Brassica napus L.,50.7333333,12.5,Winter,184
R4516,Tira,Germany,Brassica napus L.,49.45,7.75,Spring,180
R4517,Kroko,Germany,Brassica napus L.,51.3666667,7.6999998,Winter,183
R4518,Bk 11,Germany,Brassica napus L.,53.6333333,11.3833332,Winter,183
R4519,Eka,Germany,Brassica napus L.,51.9,8.3833332,Winter,183
R4520,Eurora,Germany,Brassica napus L.,50.8,6.4833331,Winter,179
R4521,Lirawell,Germany,Brassica napus L.,48.7396066,9.3047333,Spring,179
R4522,Komet,Germany,Brassica napus L.,51.2972421,6.8492889,Spring,181
R4523,"Libravo, Wrg 43",Germany,Brassica napus L.,51.65,7.0833335,Winter,182
R4524,"Lindora, Wrg 19",Germany,Brassica napus L.,51.6166667,7.5166669,Winter,183
R4525,"Perle, Ha 3804",Germany,Brassica napus L.,50.7333333,12.5,Winter,180
R4526,Aztec,Germany,Brassica napus L.,49.45,7.75,Winter,183
R4527,Rubin,Germany,Brassica napus L.,51.3666667,7.6999998,Winter,184
R4528,Quinta,Germany,Brassica napus L.,53.6333333,11.3833332,Winter,184
R4529,Canard,Germany,Brassica napus L.,51.9,8.3833332,Winter,183
R4530,Boxer,Germany,Brassica napus L.,50.8,6.4833331,Winter,184
R4531,Atlas,Germany,Brassica napus L.,48.7396066,9.3047333,Winter,183
R4532,Expander,Germany,Brassica napus L.,51.2972421,6.8492889,Winter,180
R4533,Rasant,Germany,Brassica napus L.,51.65,7.0833335,Winter,185
R4534,Valdivia,Germany,Brassica napus L.,51.6166667,7.5166669,Winter,183
R4535,Cato,Germany,Brassica napus L.,50.1333333,8.916667,Winter,182
R4536,Duplo,Germany,Brassica napus L.,51.3333333,7.0500002,Spring,168
R4537,"Tamara, D 11",Germany,Brassica napus L.,48.8973114,9.1916084,Winter,179
R4538,Collo,Germany,Brassica napus L.,54.7833333,9.4333334,Winter,180
R4539,St.6570,Germany,Brassica napus L.,51.7666667,14.333333,Winter,183
R4540,Liwera,Germany,Brassica napus L.,53.5166667,8.1333332,Winter,175
R4541,Lifura,Germany,Brassica napus L.,48.522659,9.0522194,Winter,180
R4542,Glumander,Germany,Brassica napus L.,52.2833333,8.916667,Winter,182
R4543,Gesunder,Germany,Brassica napus L.,53.55,10,Winter,182
R4544,Karola,Germany,Brassica napus L.,48.1376831,11.5743542,Winter,184
R4545,Erox,Germany,Brassica napus L.,50.9333333,6.9499998,Winter,180
R4546,Envol,Germany,Brassica napus L.,50.1166667,8.6833334,Winter,182
R4547,Metol,Germany,Brassica napus L.,51.45,7.0166669,Winter,183
R4548,Libelle,Germany,Brassica napus L.,48.7823243,9.1770172,Winter,184
R4549,Mirander,Germany,Brassica napus L.,51.5166667,7.4499998,Winter,181
R4550,Pitball,Germany,Brassica napus L.,51.2217226,6.7761612,Winter,181
R4551,Anja,Germany,Brassica napus L.,53.0751557,8.8077736,Winter,180
R4552,Liho,Germany,Brassica napus L.,52.3705163,9.7332211,Spring,160
R4553,Alfa,Germany,Brassica napus L.,51.33962,12.3712921,Winter,165
R4554,Petranova,Germany,Brassica napus L.,51.4333333,6.75,Spring,180
R4555,Limerick,Germany,Brassica napus L.,49.4477778,11.0683336,Winter,183
R4556,Liranova,Germany,Brassica napus L.,51.0508911,13.7383175,Winter,183
R4557,Meander,Germany,Brassica napus L.,51.4833333,7.2166667,Winter,181
R4558,Orle,Germany,Brassica napus L.,51.2666667,7.1833334,Winter,180
R4559,Falcon,Germany,Brassica napus L.,52.0333333,8.5333328,Winter,180
R4560,Rapol,Germany,Brassica napus L.,50.7333333,7.0999999,Winter,NA
R4561,Salamander,Germany,Brassica napus L.,49.4883333,8.4647226,Winter,179
R4562,Lirastern,Germany,Brassica napus L.,49.0047222,8.3858337,Winter,182
R4563,unknown,Germany,Brassica napus L.,50.0833333,8.25,Spring,165
R4564,Gundula,Germany,Brassica napus L.,51.9623559,7.6257133,Winter,180
R4565,Libor,Germany,Brassica napus L.,51.5166667,7.1166668,Winter,183
R4566,Liragold,Germany,Brassica napus L.,50.7766356,6.0834217,Winter,183
R4567,Synra,Germany,Brassica napus L.,51.2,6.4333334,Winter,182
R4568,Liratop,Germany,Brassica napus L.,50.7333333,7.0999999,Winter,184
R4569,Doral,Germany,Brassica napus L.,49.4883333,8.4647226,Winter,180
R4570,Semu 9/82,Germany,Brassica napus L.,49.0047222,8.3858337,Winter,181
R4571,"Tori, Ar 476/74",Germany,Brassica napus L.,50.0833333,8.25,Winter,180
R4572,Sonnengold,Germany,Brassica napus L.,51.9623559,7.6257133,Winter,182
R4573,Pera,Germany,Brassica napus L.,51.5166667,7.1166668,Spring,175
R4574,Liglandor,Germany,Brassica napus L.,50.7766356,6.0834217,Winter,183
R4575,Oleander,Germany,Brassica napus L.,51.2,6.4333334,Winter,184
R4576,Nurator,Germany,Brassica napus L.,48.3666667,10.8833332,Winter,187
R4577,Lirama,Germany,Brassica napus L.,50.8333333,12.916667,Winter,183
R4578,Coriander,Germany,Brassica napus L.,52.2666667,10.5333328,Winter,181
R4579,Diadem,Germany,Brassica napus L.,51.4833333,11.9333334,Winter,182
R4580,CRP 40.02,Germany,Brassica napus L.,51.3333333,6.5666666,Spring,181
R4581,Listol,Germany,Brassica napus L.,51.5,12,Winter,183
R4582,Libero,Germany,Brassica napus L.,54.3213293,10.1348877,Winter,NA
R4583,Licondor,Germany,Brassica napus L.,52.1666667,11.666667,Winter,181
R4584,Gisora,Germany,Brassica napus L.,52.15,11.6333332,Spring,179
R4585,Cobra,Germany,Brassica napus L.,51.4666667,6.8499999,Winter,180
R4586,Brauner Schnittkohl,Germany (before 1945),Brassica napus L.,47.9958954,7.8522205,Winter,181
R4587,Grüner Schnittkohl,Germany (before 1945),Brassica napus L.,53.868927,10.687294,Winter,179
R4588,Goldgelber Zarter Butter,Germany (before 1945),Brassica napus L.,50.9833333,11.0333328,Winter,180
R4589,Gransa,Germany,Brassica napus L.,51.35,7.4666667,Winter,NA
R4590,Niko,Germany,Brassica napus L.,54.0886975,12.1404934,Winter,191
R4591,Seefelder,Germany,Brassica napus L.,51.3166667,9.5,Winter,NA
R4592,Kohlraben,Germany,Brassica napus L.,51.6803258,7.8208923,Winter,NA
R4593,Grünk?pfige Gelbe Wilhelmsburger,Germany,Brassica napus L.,50,8.2711115,Winter,NA
R4594,Angela,Germany,Brassica napus L.,49.2333333,7,Winter,NA
R4595,Bnw 1. 108 - 88,German Democratic Republic,Brassica napus L.,51.55,7.2166667,Winter,184
R4596,Bnw 1.103/88,German Democratic Republic,Brassica napus L.,51.4333333,6.8833332,Winter,182
R4597,Bnw 1.96/87,German Democratic Republic,Brassica napus L.,52.2666667,8.0500002,Winter,181
R4598,"Marinus, BNW 24",German Democratic Republic,Brassica napus L.,51.1833333,7.0833335,Winter,182
R4599,unknown,German Democratic Republic,Brassica napus L.,49.4811111,8.4352779,Winter,183
R4600,Bnw 264/83,German Democratic Republic,Brassica napus L.,51.0333333,7,Winter,181
R4601,Bnw 40,German Democratic Republic,Brassica napus L.,53.1666667,8.1999998,Winter,180
R4602,St. 117/69,German Democratic Republic,Brassica napus L.,51.2,6.6833334,Winter,179
R4603,St. 915/90,German Democratic Republic,Brassica napus L.,52.3988578,13.0656624,Winter,181
R4604,Bnw 1.43/81,German Democratic Republic,Brassica napus L.,49.4076783,8.6907864,Winter,183
R4605,Bnw 1.68/84,German Democratic Republic,Brassica napus L.,51.7190528,8.7543869,Winter,183
R4606,Bnw 1.98/87,German Democratic Republic,Brassica napus L.,49.8705556,8.6494446,Winter,182
R4607,Bnw 25,German Democratic Republic,Brassica napus L.,49.7877778,9.9361115,Winter,180
R4608,Bnw 8,German Democratic Republic,Brassica napus L.,49.015,12.0955553,Winter,181
R4609,SR 408,German Democratic Republic,Brassica napus L.,52.4333333,10.8000002,Winter,182
R4610,SR 411,German Democratic Republic,Brassica napus L.,51.6166667,7.1999998,Winter,182
R4611,Maras,German Democratic Republic,Brassica napus L.,51.5333333,9.9333334,Winter,182
R4612,SR 412,German Democratic Republic,Brassica napus L.,49.1402778,9.2200003,Winter,184
R4613,Bnw 22,German Democratic Republic,Brassica napus L.,51.45,6.6500001,Winter,181
R4614,Bnw 1.53/82,German Democratic Republic,Brassica napus L.,50.35,7.5999999,Winter,180
R4615,Bnw 1.75/85,German Democratic Republic,Brassica napus L.,50.8666667,8.0333328,Winter,182
R4616,Bnw 1.82/86,German Democratic Republic,Brassica napus L.,50.9833333,7.1333332,Winter,183
R4617,Bnw 1.96/88,German Democratic Republic,Brassica napus L.,50.9333333,11.583333,Winter,182
R4618,SR 403,German Democratic Republic,Brassica napus L.,50.8666667,12.083333,Winter,189
R4619,Sr 407,German Democratic Republic,Brassica napus L.,52.15,9.9666672,Winter,184
R4620,Madora,German Democratic Republic,Brassica napus L.,49.5897222,11.0038891,Winter,182
R4621,Quedlinburger,German Democratic Republic,Brassica napus L.,51.4333333,7.3333335,Winter,179
R4622,Sr 402,German Democratic Republic,Brassica napus L.,49.7556526,6.6393471,Winter,185
R4623,Sr 413,German Democratic Republic,Brassica napus L.,50.7333333,12.5,Winter,185
R4624,Bnw 1.84/86,German Democratic Republic,Brassica napus L.,49.45,7.75,Winter,183
R4625,Bnw 15,German Democratic Republic,Brassica napus L.,51.3666667,7.6999998,Winter,179
R4626,Bnw 1.49/81,German Democratic Republic,Brassica napus L.,53.6333333,11.3833332,Winter,183
R4627,Bnw 1.59/82,German Democratic Republic,Brassica napus L.,51.9,8.3833332,Winter,183
R4628,Bnw 1.61/83,German Democratic Republic,Brassica napus L.,50.8,6.4833331,Winter,181
R4629,Bnw 1.87/86,German Democratic Republic,Brassica napus L.,48.7396066,9.3047333,Winter,183
R4630,Bnw 49,German Democratic Republic,Brassica napus L.,51.2972421,6.8492889,Winter,180
R4631,Bnw 74,German Democratic Republic,Brassica napus L.,51.65,7.0833335,Winter,179
R4632,SR 409,German Democratic Republic,Brassica napus L.,51.6166667,7.5166669,Winter,181
R4633,"Malux, Bnw 34",German Democratic Republic,Brassica napus L.,50.1333333,8.916667,Winter,182
R4634,Masora,German Democratic Republic,Brassica napus L.,51.3333333,7.0500002,Spring,176
R4635,Me 6,German Democratic Republic,Brassica napus L.,48.8973114,9.1916084,Winter,179
R4636,Bnw 1.77/85,German Democratic Republic,Brassica napus L.,54.7833333,9.4333334,Winter,183
R4637,Bnw 1.62/83,German Democratic Republic,Brassica napus L.,51.7666667,14.333333,Winter,183
R4638,Bnw 1.101/88,German Democratic Republic,Brassica napus L.,53.5166667,8.1333332,Winter,182
R4639,Bnw 1.47/81,German Democratic Republic,Brassica napus L.,48.522659,9.0522194,Winter,182
R4640,Bnw 1.63/83,German Democratic Republic,Brassica napus L.,52.2833333,8.916667,Winter,185
R4641,Bnw 10,German Democratic Republic,Brassica napus L.,53.55,10,Winter,181
R4642,Bnw 29,German Democratic Republic,Brassica napus L.,48.1376831,11.5743542,Winter,180
R4643,Bnw 9,German Democratic Republic,Brassica napus L.,50.9333333,6.9499998,Winter,179
R4644,SR 404,German Democratic Republic,Brassica napus L.,50.1166667,8.6833334,Winter,183
R4645,SR 406,German Democratic Republic,Brassica napus L.,51.45,7.0166669,Winter,182
R4646,Malfura,German Democratic Republic,Brassica napus L.,48.7823243,9.1770172,Winter,181
R4647,Po 3,German Democratic Republic,Brassica napus L.,51.5166667,7.4499998,Winter,182
R4648,St. 190/90,German Democratic Republic,Brassica napus L.,51.2217226,6.7761612,Winter,180
R4649,Gülzower,German Democratic Republic,Brassica napus L.,53.0751557,8.8077736,Spring,164
R4650,Mecklenburger Wei?e,German Democratic Republic,Brassica napus L.,49.4883333,8.4647226,Winter,NA
R4651,Bnw 1.71/84,German Democratic Republic,Brassica napus L.,49.0047222,8.3858337,Winter,182
R4652,Bnw 6,German Democratic Republic,Brassica napus L.,50.0833333,8.25,Winter,179
R4653,Gülzower ?lquell,German Democratic Republic,Brassica napus L.,54.3213293,10.1348877,Winter,181
R4654,Gülzower Stamm 262/65,German Democratic Republic,Brassica napus L.,52.1666667,11.666667,Winter,180
R4655,St. 118/69,German Democratic Republic,Brassica napus L.,52.15,11.6333332,Winter,180
R4656,St. 119/69,German Democratic Republic,Brassica napus L.,51.4666667,6.8499999,Winter,180
R4657,Sollux,German Democratic Republic,Brassica napus L.,47.9958954,7.8522205,Winter,183
R4658,Bnw 1.67/84,German Democratic Republic,Brassica napus L.,53.868927,10.687294,Winter,183
R4659,Bnw 1.94/87,German Democratic Republic,Brassica napus L.,50.9833333,11.0333328,Winter,183
R4660,Bnw 19,German Democratic Republic,Brassica napus L.,51.35,7.4666667,Winter,181
R4661,Bnw 23,German Democratic Republic,Brassica napus L.,54.0886975,12.1404934,Winter,179
R4662,Bnw 34,German Democratic Republic,Brassica napus L.,51.3166667,9.5,Winter,182
R4663,Bnw 54,German Democratic Republic,Brassica napus L.,51.6803258,7.8208923,Winter,183
R4664,SR 405,German Democratic Republic,Brassica napus L.,50,8.2711115,Winter,185
R4665,SR 410,German Democratic Republic,Brassica napus L.,49.2333333,7,Winter,183
R4666,Marex,German Democratic Republic,Brassica napus L.,51.55,7.2166667,Winter,181
R4667,Bnw 24,German Democratic Republic,Brassica napus L.,51.4333333,6.8833332,Winter,180
R4668,Bnw 1.44/81,German Democratic Republic,Brassica napus L.,52.2666667,8.0500002,Winter,183
R4669,"Gro?-Lüsewitzer Sp?tsaatvertr?glicher, Pollux",German Democratic Republic,Brassica napus L.,51.1833333,7.0833335,Winter,185
R4670,Bnw 1.98/88,German Democratic Republic,Brassica napus L.,49.4811111,8.4352779,Winter,NA
R4671,Bnw 16,German Democratic Republic,Brassica napus L.,51.0333333,7,Winter,185
R4672,Bnw 1.57/82,German Democratic Republic,Brassica napus L.,53.1666667,8.1999998,Winter,182
R4673,Bnw 11,German Democratic Republic,Brassica napus L.,51.2,6.6833334,Winter,180
R4674,Bnw 17,German Democratic Republic,Brassica napus L.,52.3988578,13.0656624,Winter,184
R4675,Bnw 47,German Democratic Republic,Brassica napus L.,49.4076783,8.6907864,Winter,183
R4676,M 2,German Democratic Republic,Brassica napus L.,51.7190528,8.7543869,Winter,185
R4677,SR 401,German Democratic Republic,Brassica napus L.,49.8705556,8.6494446,Winter,185
R4678,SR 414,German Democratic Republic,Brassica napus L.,49.7877778,9.9361115,Winter,184
R4679,St. 8/9,German Democratic Republic,Brassica napus L.,49.015,12.0955553,Winter,182
R4680,Bnw 59 /82,German Democratic Republic,Brassica napus L.,52.4333333,10.8000002,Winter,184
R4681,SR 417,German Democratic Republic,Brassica napus L.,51.6166667,7.1999998,Winter,190
R4682,Bnw 18,German Democratic Republic,Brassica napus L.,51.5333333,9.9333334,Winter,180
R4683,Bnw 55,German Democratic Republic,Brassica napus L.,49.1402778,9.2200003,Winter,180
R4684,Fert?di T?rzsk?nyvezett,Hungary,Brassica napus L.,47.5,19.083334,Winter,179
R4685,Ir 1,Hungary,Brassica napus L.,47.5333333,21.6333332,Winter,181
R4686,"Fert?di Elit, Fert?di",Hungary,Brassica napus L.,46.0833333,18.2333336,Winter,182
R4687,unknown,Hungary,Brassica napus L.,47.6833322,17.6351166,Spring,157
R4688,Fert?di Uj,Hungary,Brassica napus L.,47.2308762,16.6215534,Winter,186
R4689,Ir 5,Hungary,Brassica napus L.,47.9126028,19.9770927,Winter,181
R4690,Sobotka Utantermés,Hungary,Brassica napus L.,46.3666667,17.7999992,Winter,179
R4691,Gk Savaria,Hungary,Brassica napus L.,46.6833333,21.1000004,Winter,182
R4692,unknown,Indonesia,Brassica napus L.,-6.9127778,107.6205521,Winter,172
R4693,unknown,Indonesia,Brassica napus L.,-6.2366667,106.9919434,Spring,178
R4694,Emerald,Ireland,Brassica napus L.,53.142367,-7.692054,Winter,176
R4695,unknown,Italy,Brassica napus L.,41.9,12.4833336,Spring,176
R4696,Leonessa,Italy,Brassica napus L.,45.4642694,9.1895056,Spring,172
R4697,sinapri,Italy,Brassica napus L.,40.8333333,14.25,Winter,179
R4698,cima rapa,Italy,Brassica napus L.,45.0704898,7.6868248,Spring,177
R4699,unknown,Italy,Brassica napus L.,38.1158198,13.3597612,Winter,NA
R4700,unknown,Italy,Brassica napus L.,44.4063163,8.9338589,Spring,169
R4701,Palu,Italy,Brassica napus L.,43.7666667,11.25,Winter,184
R4702,Olimpiade,Italy,Brassica napus L.,44.4938115,11.3387489,Winter,171
R4703,unknown,Italy,Brassica napus L.,41.117734,16.8511848,Winter,183
R4704,ravizzone,Italy,Brassica napus L.,37.502134,15.0871897,Winter,184
R4705,Abukuma,Japan,Brassica napus L.,35.984614,140.366866,Winter,184
R4706,Exp. Synthetic Var. C (high Oil),Japan,Brassica napus L.,35.134756,140.103194,Spring,165
R4707,Hokkai 3-go,Japan,Brassica napus L.,35.171503,137.883956,Winter,180
R4708,Marasaki Natane,Japan,Brassica napus L.,36.063775,140.202071,Winter,183
R4709,Taisetsu,Japan,Brassica napus L.,33.92569,135.768588,Winter,182
R4710,Murusaki,Japan,Brassica napus L.,34.992921,137.834018,Winter,182
R4711,Asahi Natane,Japan,Brassica napus L.,33.503657,133.241733,Semi-winter,177
R4712,Michinoku,Japan,Brassica napus L.,33.686682,134.406284,Winter,184
R4713,Michinoku Natane,Japan,Brassica napus L.,37.787037,140.756381,Winter,180
R4714,Nemuro Rutabaka,Japan,Brassica napus L.,32.455569,131.264194,Winter,NA
R4715,Iwanai,Japan,Brassica napus L.,37.214165,140.536655,Winter,180
R4716,New Hakuran,Japan,Brassica napus L.,35.103304,132.868198,Winter,180
R4717,Shouren Hakuran,Japan,Brassica napus L.,33.487832,130.429233,Semi-winter,177
R4718,Marasaki,Japan,Brassica napus L.,32.102608,131.06644,Semi-winter,170
R4719,Kabulena,Japan,Brassica napus L.,36.404947,136.735385,Winter,180
R4720,Gogatsuna,Japan,Brassica napus L.,36.95123,138.207553,Semi-winter,178
R4721,Miyauchina,Japan,Brassica napus L.,37.772038,139.459995,Semi-winter,181
R4722,Murusaki Natane,Japan,Brassica napus L.,35.515706,134.582065,Winter,NA
R4723,unknown,Japan,Brassica napus L.,38.429085,139.701694,Winter,181
R4724,Abukuma Natane,Japan,Brassica napus L.,36.883357,138.031772,Winter,NA
R4725,Azuma (light Yellow),Japan,Brassica napus L.,34.961823,133.769077,Semi-winter,176
R4726,Seiyoushu,Japan,Brassica napus L.,33.361963,132.780307,Winter,178
R4727,Daichousen (mizuyasu),Korea,Brassica napus L.,34.763425,126.416258,Spring,176
R4728,Suigenshu,Korea,Brassica napus L.,34.602452,127.207274,Semi-winter,179
R4729,Daichousen,Korea,Brassica napus L.,36.721739,129.052977,Semi-winter,175
R4730,Chuosenshu,Korea,Brassica napus L.,36.864105,126.592039,Semi-winter,177
R4731,Daichousen (murayama),Korea,Brassica napus L.,34.761784,126.042723,Semi-winter,175
R4732,unknown,Libyan Arab Jamahiriya,Brassica napus L.,26.08151,17.765662,Spring,161
R4733,unknown,Libyan Arab Jamahiriya,Brassica napus L.,25.923522,17.08451,Spring,161
R4734,unknown,Lithuania,Brassica napus L.,55.169438,23.881275,Winter,184
R4735,unknown,Lithuania,Brassica napus L.,55.545002,23.260048,Winter,175
R4736,Moldavia,"Moldova, Republic of",Brassica napus L.,47.060358,28.829313,Winter,177
R4737,unknown,Morocco,Brassica napus L.,31.663427,-6.643179,Winter,179
R4738,unknown,Mozambique,Brassica napus L.,-18.665695,35.529562,Winter,182
R4739,unknown,Nepal,Brassica napus L.,28.394857,84.124008,Winter,183
R4740,Lonto,Netherlands,Brassica napus L.,51.961873,4.648066,Winter,185
R4741,"Mansholt?s Hamburger, Nain De Hambourg",Netherlands,Brassica napus L.,51.683768,3.949935,Winter,183
R4742,Rampal,Netherlands,Brassica napus L.,51.547332,5.64183,Winter,184
R4743,Velox,Netherlands,Brassica napus L.,52.19849,6.3889,Winter,182
R4744,Barcoli,Netherlands,Brassica napus L.,52.279222,4.675033,Winter,185
R4745,Esora,Netherlands,Brassica napus L.,51.601956,3.90599,Spring,175
R4746,Blako,Netherlands,Brassica napus L.,53.248546,5.422103,Winter,180
R4747,Mansholts Hamburger Raps,Netherlands,Brassica napus L.,52.933052,6.322982,Winter,179
R4748,Marana,Netherlands,Brassica napus L.,51.96895,6.476791,Winter,185
R4749,Ramon,Netherlands,Brassica napus L.,51.384314,5.949447,Winter,181
R4750,Hankkija's Lauri,Netherlands,Brassica napus L.,53.290358,5.40013,Spring,163
R4751,Major,Netherlands,Brassica napus L.,52.153166,5.092513,Winter,180
R4752,Windal,Netherlands,Brassica napus L.,52.180121,6.103255,Winter,185
R4753,Orly,Netherlands,Brassica napus L.,52.018148,4.806868,Spring,181
R4754,Bladkool,Netherlands,Brassica napus L.,51.61064,3.686263,Winter,185
R4755,Bishop,Netherlands,Brassica napus L.,52.287776,4.718978,Winter,185
R4756,Anton,Netherlands,Brassica napus L.,52.260887,5.31224,Winter,187
R4757,Baraska,Netherlands,Brassica napus L.,52.861958,4.850814,Winter,184
R4758,Viva,Netherlands,Brassica napus L.,51.977563,5.839583,Winter,185
R4759,Stego,Netherlands,Brassica napus L.,51.882721,5.246322,Winter,189
R4760,Adonis,Netherlands,Brassica napus L.,52.689161,6.366927,Winter,184
R4761,"Windal, Bladkool C.i.v.",Netherlands,Brassica napus L.,52.314649,6.542708,Winter,185
R4762,Winfred,Netherlands,Brassica napus L.,52.247436,6.828353,Winter,187
R4763,Mara,Netherlands,Brassica napus L.,52.635854,4.850814,Winter,185
R4764,Calder Swede,New Zealand,Brassica napus L.,-44.045127,171.30243,Winter,NA
R4765,Doon Spartan Swede,New Zealand,Brassica napus L.,-43.569419,172.401063,Winter,182
R4766,Aphid Resistant Rape,New Zealand,Brassica napus L.,-44.922974,170.555359,Winter,185
R4767,Giant Rape,New Zealand,Brassica napus L.,-45.387815,170.467469,Winter,181
R4768,Rangi,New Zealand,Brassica napus L.,-45.78761,169.588563,Winter,182
R4769,Clubrot Resistant,New Zealand,Brassica napus L.,-45.78761,167.874695,Winter,179
R4770,"Moana, Moana Rape",New Zealand,Brassica napus L.,-46.032222,166.907899,Winter,185
R4771,"Pastewna Zolta, Saba",Poland,Brassica napus L.,52.25,21,Winter,NA
R4772,750,Poland,Brassica napus L.,51.75,19.4666672,Winter,182
R4773,1002,Poland,Brassica napus L.,50.0833333,19.916666,Winter,182
R4774,Boh 484,Poland,Brassica napus L.,51.1,17.0333328,Winter,183
R4775,Bronowski,Poland,Brassica napus L.,52.4166667,16.9666672,Spring,177
R4776,Opt 341/87,Poland,Brassica napus L.,54.35,18.666666,Winter,184
R4777,"Gorczanski, Brillant",Poland,Brassica napus L.,53.4293784,14.5529366,Winter,169
R4778,Niemerczanski 4292,Poland,Brassica napus L.,53.15,18,Winter,176
R4779,Pn 3/89,Poland,Brassica napus L.,51.25,22.5666676,Winter,184
R4780,"Poh 285, Bolko",Poland,Brassica napus L.,50.2666667,19.0166664,Winter,183
R4781,Rod S- 5125/79,Poland,Brassica napus L.,53.1333333,23.1499996,Winter,182
R4782,unknown,Poland,Brassica napus L.,54.5,18.5499992,Winter,181
R4783,Start,Poland,Brassica napus L.,50.8,19.1166668,Winter,181
R4784,Mah 2,Poland,Brassica napus L.,50.3,19.166666,Winter,183
R4785,unknown,Poland,Brassica napus L.,51.4166667,21.1499996,Winter,189
R4786,Boh 1,Poland,Brassica napus L.,53.0333333,18.6000004,Winter,183
R4787,Boh 283,Poland,Brassica napus L.,50.8333333,20.666666,Winter,185
R4788,E 2162/81,Poland,Brassica napus L.,50.2833333,18.666666,Winter,184
R4789,Pb 1462/87,Poland,Brassica napus L.,50.3166667,18.7833328,Winter,184
R4790,R 29/85,Poland,Brassica napus L.,50.35,18.9666672,Winter,184
R4791,Sobotkowski,Poland,Brassica napus L.,49.8166667,19.0333328,Winter,184
R4792,Janek,Poland,Brassica napus L.,53.7833333,20.4833336,Winter,183
R4793,Boh 183,Poland,Brassica napus L.,50.05,22,Winter,183
R4794,"Beryl, Jg 75",Poland,Brassica napus L.,50.3166667,18.8500004,Winter,182
R4795,188/73,Poland,Brassica napus L.,50.1018634,18.5466385,Winter,182
R4796,Boh 987,Poland,Brassica napus L.,50.15,19,Winter,183
R4797,Boh 384,Poland,Brassica napus L.,50.3333333,19.2000008,Winter,181
R4798,Erake,Poland,Brassica napus L.,50.6666667,17.9500008,Spring,179
R4799,"Halix, Dolnoslaski",Poland,Brassica napus L.,54.1666667,19.3833332,Winter,181
R4800,Local,Poland,Brassica napus L.,52.55,19.7000008,Winter,182
R4801,Mah 181,Poland,Brassica napus L.,50.7666667,16.2833328,Winter,182
R4802,Pob 286,Poland,Brassica napus L.,52.7333333,15.2333336,Winter,182
R4803,Skreszowiki,Poland,Brassica napus L.,52.65,19.0333328,Winter,182
R4804,"Skrzeszowicka, Fero",Poland,Brassica napus L.,51.9333333,15.5,Winter,182
