id	type
R4554	Spring
R4555	Winter
R4556	Winter
R4557	Winter
R4558	Winter
R4559	Winter
R4560	Winter
R4561	Winter
R4562	Winter
R4563	Spring
R4564	Winter
R4565	Winter
R4566	Winter
R4567	Winter
R4568	Winter
R4569	Winter
R4570	Winter
R4571	Winter
R4572	Winter
R4573	Spring
R4574	Winter
R4575	Winter
R4576	Winter
R4577	Winter
R4578	Winter
R4579	Winter
R4580	Spring
R4581	Winter
R4582	Winter
R4583	Winter
R4584	Spring
R4585	Winter
R4586	Winter
R4587	Winter
R4588	Winter
R4589	Winter
R4590	Winter
R4591	Winter
R4592	Winter
R4593	Winter
R4594	Winter
R4595	Winter
R4596	Winter
R4597	Winter
R4598	Winter
R4599	Winter
R4600	Winter
R4601	Winter
R4602	Winter
R4603	Winter
R4604	Winter
R4605	Winter
R4606	Winter
R4607	Winter
R4608	Winter
R4609	Winter
R4610	Winter
R4611	Winter
R4612	Winter
R4613	Winter
R4614	Winter
R4615	Winter
R4616	Winter
R4617	Winter
R4618	Winter
R4619	Winter
R4620	Winter
R4621	Winter
R4622	Winter
R4623	Winter
R4624	Winter
R4625	Winter
R4626	Winter
R4627	Winter
R4628	Winter
R4629	Winter
R4630	Winter
R4631	Winter
R4632	Winter
R4633	Winter
R4634	Spring
R4635	Winter
R4636	Winter
R4637	Winter
R4638	Winter
R4639	Winter
R4640	Winter
R4641	Winter
R4642	Winter
R4643	Winter
R4644	Winter
R4645	Winter
R4646	Winter
R4647	Winter
R4648	Winter
R4649	Spring
R4650	Winter
R4651	Winter
R4652	Winter
R4653	Winter
R4654	Winter
R4655	Winter
R4656	Winter
R4657	Winter
R4658	Winter
R4659	Winter
R4660	Winter
R4661	Winter
R4662	Winter
R4663	Winter
R4664	Winter
R4665	Winter
R4666	Winter
R4667	Winter
R4668	Winter
R4669	Winter
R4670	Winter
R4671	Winter
R4672	Winter
R4673	Winter
R4674	Winter
R4675	Winter
R4676	Winter
R4677	Winter
R4678	Winter
R4679	Winter
R4680	Winter
R4681	Winter
R4682	Winter
R4683	Winter
R4684	Winter
R4685	Winter
R4686	Winter
R4687	Spring
R4688	Winter
R4689	Winter
R4690	Winter
R4691	Winter
R4692	Winter
R4693	Spring
R4694	Winter
R4695	Spring
R4696	Spring
R4697	Winter
R4698	Spring
R4699	Winter
R4700	Spring
R4701	Winter
R4702	Winter
R4703	Winter
R4704	Winter
R4705	Winter
R4706	Spring
R4707	Winter
R4708	Winter
R4709	Winter
R4710	Winter
R4711	Semi-Winter
R4712	Winter
R4713	Winter
R4714	Winter
R4715	Winter
R4716	Winter
R4717	Semi-Winter
R4718	Semi-Winter
R4719	Winter
R4720	Semi-Winter
R4721	Semi-Winter
R4722	Winter
R4723	Winter
R4724	Winter
R4725	Semi-Winter
R4726	Winter
R4727	Spring
R4728	Semi-Winter
R4729	Semi-Winter
R4730	Semi-Winter
R4731	Semi-Winter
R4732	Spring
R4733	Spring
R4734	Winter
R4735	Winter
R4736	Winter
R4737	Winter
R4738	Winter
R4739	Winter
R4740	Winter
R4741	Winter
R4742	Winter
R4743	Winter
R4744	Winter
R4745	Spring
R4746	Winter
R4747	Winter
R4748	Winter
R4749	Winter
R4750	Spring
R4751	Winter
R4752	Winter
R4753	Spring
R4754	Winter
R4755	Winter
R4756	Winter
R4757	Winter
R4758	Winter
R4759	Winter
R4760	Winter
R4761	Winter
R4762	Winter
R4763	Winter
R4764	Winter
R4765	Winter
R4766	Winter
R4767	Winter
R4768	Winter
R4769	Winter
R4770	Winter
R4771	Winter
R4772	Winter
R4773	Winter
R4774	Winter
R4775	Spring
R4776	Winter
R4777	Winter
R4778	Winter
R4779	Winter
R4780	Winter
R4781	Winter
R4782	Winter
R4783	Winter
R4784	Winter
R4785	Winter
R4786	Winter
R4787	Winter
R4788	Winter
R4789	Winter
R4790	Winter
R4791	Winter
R4792	Winter
R4793	Winter
R4794	Winter
R4795	Winter
R4796	Winter
R4797	Winter
R4798	Spring
R4799	Winter
R4800	Winter
R4801	Winter
R4802	Winter
R4803	Winter
R4804	Winter
R4805	Winter
R4806	Winter
R4807	Spring
R4808	Winter
R4809	Winter
R4810	Winter
R4811	Winter
R4812	Winter
R4813	Winter
R4814	Winter
R4815	Winter
R4816	Winter
R4817	Winter
R4818	Winter
R4819	Winter
R4820	Winter
R4821	Winter
R4822	Winter
R4823	Winter
R4824	Winter
R4825	Winter
R4826	Winter
R4827	Winter
R4828	Winter
R4829	Winter
R4830	Winter
R4831	Winter
R4832	Winter
R4833	Winter
R4834	Spring
R4835	Winter
R4836	Winter
R4837	Winter
R4838	Winter
R4839	Winter
R4840	Winter
R4841	Winter
R4842	Winter
R4843	Winter
R4844	Spring
R4845	Winter
R4846	Winter
R4847	Winter
R4848	Winter
R4849	Winter
R4850	Winter
R4851	Spring
R4852	Winter
R4853	Winter
R4854	Winter
R4855	Winter
R4856	Spring
R4857	Winter
R4858	Spring
R4859	Winter
R4860	Spring
R4861	Winter
R4862	Winter
R4863	Winter
R4864	Winter
R4865	Winter
R4866	Spring
R4867	Spring
R4868	Winter
R4869	Spring
R4870	Winter
R4871	Winter
R4872	Spring
R4873	Winter
R4874	Winter
R4875	Winter
R4876	Winter
R4877	Winter
R4878	Spring
R4879	Winter
R4880	Winter
R4881	Winter
R4882	Winter
R4883	Winter
R4884	Winter
R4885	Winter
R4886	Winter
R4887	Winter
R4888	Winter
R4889	Winter
R4890	Winter
R4891	Semi-Winter
R4892	Semi-Winter
R4893	Semi-Winter
R4894	Semi-Winter
R4895	Semi-Winter
R4896	Semi-Winter
R4897	Spring
R4898	Winter
R4899	Spring
R4900	Winter
R4901	Winter
R4902	Winter
R4903	Winter
R4904	Winter
R4905	Winter
R4906	Spring
R4907	Spring
R4908	Winter
R4909	Winter
R4910	Winter
R4911	Winter
R4912	Winter
R4913	Winter
R4914	Winter
R4915	Winter
R4916	Winter
R4917	Winter
R4918	Winter
R4919	Winter
R4920	Winter
R4921	Winter
R4922	Winter
R4923	Winter
R4924	Winter
R4925	Winter
R4926	Winter
R4927	Winter
R4928	Winter
R4929	Winter
R4930	Winter
R4931	Winter
R4932	Winter
R4933	Winter
R4934	Winter
R4935	Winter
R4936	Spring
R4937	Spring
R4938	Spring
R4939	Spring
R4940	Winter
R4941	Spring
R4942	Spring
R4943	Winter
R4944	Winter
R4945	Spring
R4946	Winter
R4947	Spring
R4948	Winter
R4949	Spring
R4950	Winter
R4951	Winter
R4952	Winter
R4953	Spring
R4954	Spring
R4955	Spring
R4956	Spring
R4957	Winter
R4958	Winter
R4959	Winter
R4960	Winter
R4961	Winter
R4962	Winter
R4963	Winter
R4964	Winter
R4965	Winter
R4966	Spring
R4967	Winter
R4968	Spring
R4969	Spring
R4970	Spring
R4971	Winter
R4972	Spring
R4973	Winter
R4974	Winter
R4975	Winter
R4976	Winter
R4977	Winter
R4978	Winter
R4979	Winter
R4980	Winter
R4981	Winter
R4982	Spring
R4983	Winter
R4984	Winter
R4985	Winter
R4986	Spring
R4987	Spring
R4988	Spring
R4989	Semi-Winter
R4990	Semi-Winter
R4991	Semi-Winter
R4992	Semi-Winter
R4993	Spring
R4994	Spring
R4995	Spring
R4996	Spring
R4997	Semi-Winter
R4998	Semi-Winter
R4999	Semi-Winter
R5000	Semi-Winter
R5001	Semi-Winter
R5002	Spring
R5003	Spring
R5004	Spring
R5005	Spring
R5006	Semi-Winter
R5007	Spring
R5008	Spring
R5009	Spring
R5010	Semi-Winter
R5011	Spring
R5012	Semi-Winter
R5013	Spring
R5014	Spring
R5015	Spring
R5016	Spring
R5017	Semi-Winter
R5018	Semi-Winter
R5019	Spring
R5020	Spring
R5021	Spring
R5022	Spring
R5023	Spring
R5024	Semi-Winter
R5025	Semi-Winter
R5026	Spring
R5027	Spring
R5028	Spring
R5029	Spring
R5030	Semi-Winter
R5031	Semi-Winter
